"Condition","loc_coord","loc_id","plate","Phase","Group","seconds_total","exp_sums","mean","sd","sem","median","iqr","CI_lower","CI_upper","phase_con_mean","phase_con_sd","phase_con_sem"
"Mut2","G5",77,1,"Trans 1","1",16,13839,864.9375,1059.00717459011,264.751793647528,348.5,1662,346.023984450845,1383.85101554916,433.693359375,336.544264811127,59.4931829543472
"Mut2","G5",77,2,"Trans 1","1",16,774,48.375,131.836198873198,32.9590497182994,0,15.5,-16.2247374478669,112.974737447867,433.693359375,336.544264811127,59.4931829543472
"Mut2","G6",78,1,"Trans 1","1",16,18025,1126.5625,1559.12107585225,389.780268963062,600.5,1773.5,362.593172832399,1890.5318271676,433.693359375,336.544264811127,59.4931829543472
"Mut2","G6",78,2,"Trans 1","1",16,8600,537.5,1086.45447826098,271.613619565244,1,573.75,5.13730565212086,1069.86269434788,433.693359375,336.544264811127,59.4931829543472
"Mut3","G7",79,1,"Trans 1","1",16,11953,747.0625,766.035549109831,191.508887277458,525,991,371.705080936183,1122.41991906382,505.810546875,399.848325415771,70.6838655868942
"Mut3","G7",79,2,"Trans 1","1",16,865,54.0625,135.638474753048,33.9096186882621,0,7,-12.4003526289937,120.525352628994,505.810546875,399.848325415771,70.6838655868942
"Mut3","G8",80,1,"Trans 1","1",16,10260,641.25,767.440464574723,191.860116143681,391.5,953.5,265.204172358386,1017.29582764161,505.810546875,399.848325415771,70.6838655868942
"Mut3","G8",80,2,"Trans 1","1",16,1559,97.4375,304.066871756856,76.0167179392139,0,3.5,-51.5552671608592,246.430267160859,505.810546875,399.848325415771,70.6838655868942
"Mut4","G9",81,1,"Trans 1","1",16,2767,172.9375,274.852558959648,68.713139739912,11,213.75,38.2597461097726,307.615253890227,487.310546875,427.536511741477,75.5784916643101
"Mut4","G9",81,2,"Trans 1","1",16,5905,369.0625,712.751519932905,178.187879983226,184,254.5,19.8142552328765,718.310744767124,487.310546875,427.536511741477,75.5784916643101
"Mut4","G10",82,1,"Trans 1","1",16,24129,1508.0625,2254.02630770657,563.506576926644,382,2385.75,403.589609223778,2612.53539077622,487.310546875,427.536511741477,75.5784916643101
"Mut4","G10",82,2,"Trans 1","1",16,2319,144.9375,302.952244586502,75.7380611466256,38.5,124.5,-3.50909984738618,293.384099847386,487.310546875,427.536511741477,75.5784916643101
"MUT+DMSO","G11",83,1,"Trans 1","1",16,9336,583.5,759.444094936114,189.861023734028,179.5,1088.75,211.372393481304,955.627606518696,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","G11",83,2,"Trans 1","1",16,3892,243.25,514.389411503257,128.597352875814,19.5,165.75,-8.80081163659574,495.300811636596,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","G12",84,1,"Trans 1","1",16,9671,604.4375,847.990799380119,211.99769984503,170.5,815.5,188.922008303742,1019.95299169626,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","G12",84,2,"Trans 1","1",16,5019,313.6875,410.602925586265,102.650731396566,180.5,335.5,112.49206646273,514.88293353727,342.09765625,242.869357231063,42.9336423601257
"WT+DMSO","H1",85,1,"Trans 1","1",16,6422,401.375,482.315785214072,120.578946303518,205.5,660.5,165.040265245105,637.709734754895,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","H1",85,2,"Trans 1","1",16,5730,358.125,706.482354108485,176.620588527121,0,399.5,11.9486464868424,704.301353513158,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","H2",86,1,"Trans 1","1",16,8599,537.4375,1244.94883261656,311.23720815414,0,379,-72.587427982114,1147.46242798211,407.353515625,390.414111011576,69.0161163418008
"WT+DMSO","H2",86,2,"Trans 1","1",16,1444,90.25,115.20850663037,28.8021266575925,37,142.25,33.7978317511187,146.702168248881,407.353515625,390.414111011576,69.0161163418008
"Mut1","H3",87,1,"Trans 1","1",16,9433,589.5625,687.510675674688,171.877668918672,247.5,1159.25,252.682268919403,926.442731080597,449.291015625,306.460740365593,54.1751169199901
"Mut1","H3",87,2,"Trans 1","1",16,3008,188,505.715994078363,126.428998519591,0,99.25,-59.8008370983977,435.800837098398,449.291015625,306.460740365593,54.1751169199901
"Mut1","H4",88,1,"Trans 1","1",16,8481,530.0625,837.741206558843,209.435301639711,174,771.5,119.569308786167,940.555691213833,449.291015625,306.460740365593,54.1751169199901
"Mut1","H4",88,2,"Trans 1","1",16,2757,172.3125,187.358735673929,46.8396839184823,83,394,80.5067195197746,264.118280480225,449.291015625,306.460740365593,54.1751169199901
"Mut2","H5",89,1,"Trans 1","1",16,18393,1149.5625,1434.61683473323,358.654208683308,371,2201.5,446.600250980716,1852.52474901928,433.693359375,336.544264811127,59.4931829543472
"Mut2","H5",89,2,"Trans 1","1",16,1352,84.5,170.309913588924,42.5774783972309,0,96.75,1.04814234142736,167.951857658573,433.693359375,336.544264811127,59.4931829543472
"Mut2","H6",90,1,"Trans 1","1",16,9796,612.25,564.330931280574,141.082732820144,432,744,335.727843672519,888.772156327481,433.693359375,336.544264811127,59.4931829543472
"Mut2","H6",90,2,"Trans 1","1",16,4405,275.3125,705.60798547541,176.401996368853,13.5,118.5,-70.435412882951,621.060412882951,433.693359375,336.544264811127,59.4931829543472
"Mut3","H7",91,1,"Trans 1","1",16,19639,1227.4375,1194.56753506586,298.641883766466,925,2222.75,642.099407817727,1812.77559218227,505.810546875,399.848325415771,70.6838655868942
"Mut3","H7",91,2,"Trans 1","1",16,1124,70.25,195.57078854812,48.8926971370299,0,11.75,-25.5796863885786,166.079686388579,505.810546875,399.848325415771,70.6838655868942
"Mut3","H8",92,1,"Trans 1","1",16,14415,900.9375,895.669691255283,223.917422813821,699,1229.25,462.059351284912,1339.81564871509,505.810546875,399.848325415771,70.6838655868942
"Mut3","H8",92,2,"Trans 1","1",16,8837,552.3125,727.699637556595,181.924909389149,400.5,514.5,195.739677597268,908.885322402732,505.810546875,399.848325415771,70.6838655868942
"Mut4","H9",93,1,"Trans 1","1",16,6678,417.375,500.251253538326,125.062813384582,239.5,618,172.25188576622,662.49811423378,487.310546875,427.536511741477,75.5784916643101
"Mut4","H9",93,2,"Trans 1","1",16,2720,170,250.210844422592,62.5527111056481,41.5,210.25,47.3966862329298,292.60331376707,487.310546875,427.536511741477,75.5784916643101
"Mut4","H10",94,1,"Trans 1","1",16,7278,454.875,531.951987181801,132.98799679545,268,488.5,194.218526280918,715.531473719082,487.310546875,427.536511741477,75.5784916643101
"Mut4","H10",94,2,"Trans 1","1",16,3890,243.125,430.894863433452,107.723715858363,0,370.25,31.9865169176085,454.263483082392,487.310546875,427.536511741477,75.5784916643101
"MUT+DMSO","H11",95,1,"Trans 1","1",16,3626,226.625,502.137813088532,125.534453272133,0,142,-19.4225284133806,472.672528413381,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","H11",95,2,"Trans 1","1",16,5176,323.5,379.062176078455,94.7655440196137,151,604.25,137.759533721557,509.240466278443,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","H12",96,1,"Trans 1","1",16,2096,131,323.933943883626,80.9834859709064,0,92,-27.7276325029766,289.727632502977,342.09765625,242.869357231063,42.9336423601257
"MUT+DMSO","H12",96,2,"Trans 1","1",16,5769,360.5625,976.418419104569,244.104604776142,29.5,184,-117.882525361239,839.007525361239,342.09765625,242.869357231063,42.9336423601257
"WT+DMSO","A1",1,1,"Light","1",43,977,22.7209302325581,104.362081597219,15.9150682405105,0,0,-8.47260351884242,53.9144639839587,86.938226744186,128.82391521314,22.773066006553
"WT+DMSO","A1",1,2,"Light","1",43,97,2.25581395348837,14.7923613222627,2.25581395348837,0,0,-2.16558139534884,6.67720930232558,86.938226744186,128.82391521314,22.773066006553
"WT+DMSO","A2",2,1,"Light","1",43,1639,38.1162790697674,100.327845753031,15.2998530418874,0,0,8.12856710766818,68.1039910318667,86.938226744186,128.82391521314,22.773066006553
"WT+DMSO","A2",2,2,"Light","1",43,9680,225.116279069767,787.760363891938,120.132329258213,0,0,-10.3430862763299,460.575644415865,86.938226744186,128.82391521314,22.773066006553
"Mut1","A3",3,1,"Light","1",43,1158,26.9302325581395,173.648577160726,26.4811597573017,0,0,-24.9728405661718,78.8333056824509,60.9803779069767,86.4322006520799,15.2791987984905
"Mut1","A3",3,2,"Light","1",43,4193,97.5116279069767,183.154939885414,27.9308664818798,3,124,42.7671296024923,152.256126211461,60.9803779069767,86.4322006520799,15.2791987984905
"Mut1","A4",4,1,"Light","1",43,794,18.4651162790698,121.083864844088,18.4651162790698,0,0,-17.726511627907,54.6567441860465,60.9803779069767,86.4322006520799,15.2791987984905
"Mut1","A4",4,2,"Light","1",43,172,4,11.9383336158699,1.82057880857384,0,0,0.431665535195281,7.56833446480472,60.9803779069767,86.4322006520799,15.2791987984905
"Mut2","A5",5,1,"Light","1",43,0,0,0,0,0,0,0,0,64.1533430232558,130.940108659137,23.1471596905447
"Mut2","A5",5,2,"Light","1",43,1191,27.6976744186047,86.8914305829327,13.250818938052,0,0,1.72606930002273,53.6692795371866,64.1533430232558,130.940108659137,23.1471596905447
