time	Loc01	Loc02	Loc03	Loc04	Loc05	Loc06	Loc07	Loc08	Loc09	Loc10	Loc11	Loc12	Loc13	Loc14	Loc15	Loc16	Loc17	Loc18	Loc19	Loc20	Loc21	Loc22	Loc23	Loc24	Loc25	Loc26	Loc27	Loc28	Loc29	Loc30	Loc31	Loc32	Loc33	Loc34	Loc35	Loc36	Loc37	Loc38	Loc39	Loc40	Loc41	Loc42	Loc43	Loc44	Loc45	Loc46	Loc47	Loc48	Loc49	Loc50	Loc51	Loc52	Loc53	Loc54	Loc55	Loc56	Loc57	Loc58	Loc59	Loc60	Loc61	Loc62	Loc63	Loc64	Loc65	Loc66	Loc67	Loc68	Loc69	Loc70	Loc71	Loc72	Loc73	Loc74	Loc75	Loc76	Loc77	Loc78	Loc79	Loc80	Loc81	Loc82	Loc83	Loc84	Loc85	Loc86	Loc87	Loc88	Loc89	Loc90	Loc91	Loc92	Loc93	Loc94	Loc95	Loc96
1333258	0	0	0	0	0	3	79	0	0	0	0	0	44	0	13	0	0	0	0	0	0	0	29	0	0	0	0	24	17	0	23	0	0	0	0	0	0	0	47	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
1366393	0	0	0	0	0	0	68	0	0	0	0	0	82	3	0	0	0	0	0	0	0	0	18	0	0	0	0	32	9	0	8	0	0	0	0	60	0	38	53	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	7	0	0	0	0	21	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4	0	0	0	0
1400139	0	0	0	0	0	0	30	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	10	0	0	0	0	24	5	0	3	0	0	0	0	30	0	13	53	0	0	28	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	104	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
1433405	0	0	0	0	0	0	96	0	0	0	0	0	129	0	0	0	23	0	0	0	0	0	5	0	0	0	0	29	1	0	1	0	27	0	0	38	0	0	49	0	0	14	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	83	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
1466740	0	0	0	0	0	0	85	0	0	0	0	0	60	0	0	4	93	0	0	0	0	0	0	0	0	0	0	26	1	0	0	0	65	0	0	27	0	0	16	0	0	4	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
1500140	0	0	0	0	0	0	133	1	0	0	0	0	40	0	0	47	67	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0	0	0	0	0
1533233	0	0	0	0	0	0	68	0	0	0	0	0	27	0	0	25	47	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	33	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1	0	30	0	0	0	0	0	0	0	0
1566363	0	0	26	0	0	0	43	0	0	0	0	0	18	0	0	0	23	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	64	15	62	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	32	0	19	74	0	0	0	0	0	0	0	0
1599894	43	0	102	0	67	0	21	0	0	40	0	0	10	90	0	0	13	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	19	0	0	0	0	0	0	0	0	0	30	0	0	0	43	0	110	0	0	0	0	7	0	0	0	0	52	0	0	0	0	0	0	12	0	48	59	0	0	0	0	0	0	0	0
1633174	74	0	128	0	69	0	22	0	0	30	0	0	2	277	0	2	6	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	63	0	0	0	0	0	0	0	0	0	11	0	0	0	22	0	67	0	0	0	42	65	0	0	0	0	41	0	0	0	0	0	0	0	0	35	33	0	0	0	0	0	0	0	0
1666496	72	0	61	0	72	0	21	0	0	42	0	0	1	108	0	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	39	0	0	0	0	0	0	0	0	0	3	0	0	0	8	2	69	0	0	0	90	94	0	0	0	0	28	0	0	4	0	14	0	0	0	16	9	0	0	0	0	0	0	0	0
1699674	33	0	19	0	38	0	89	0	0	25	0	0	0	16	0	32	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	18	0	0	0	0	8	0	0	0	0	0	0	0	0	5	1	71	0	0	0	186	71	0	0	0	0	14	0	1	46	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0
1733208	10	0	9	0	8	0	82	0	0	43	0	0	0	3	0	25	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	42	0	17	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	8	0	0	3	0	44	0	0	0	0	0	0	0	0	1	58	21	0	0	0	193	40	0	0	0	0	0	0	0	67	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1766554	0	56	0	0	3	0	48	0	6	30	0	0	0	0	0	12	0	0	0	0	0	18	0	0	8	0	0	0	0	0	0	0	0	107	0	15	0	0	0	0	54	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	43	0	0	52	0	0	0	0	0	0	64	5	0	0	0	224	11	0	0	2	0	0	0	0	89	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1799783	0	171	0	0	0	0	20	0	13	13	0	0	0	0	0	5	0	0	0	0	0	5	0	0	99	0	0	0	0	0	0	0	0	73	0	31	0	0	0	0	55	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	33	0	0	60	0	0	0	0	0	0	34	0	1	0	0	167	3	0	0	45	0	0	0	0	68	16	4	0	0	0	0	0	0	0	0	0	0	36	0	0
