time	location	data1	data2
208234860	Loc08	110	13
208234860	Loc09	0	0
208234860	Loc10	42	0
208234860	Loc11	0	0
208234860	Loc12	0	0
208234860	Loc13	0	0
208234860	Loc14	164	0
208234860	Loc15	63	0
208234860	Loc16	0	29
208234860	Loc17	0	59
208234860	Loc18	0	0
208234860	Loc19	0	0
208234860	Loc20	0	69
208234860	Loc21	186	0
208234860	Loc22	0	24
208234860	Loc23	0	0
208234860	Loc24	75	0
208234860	Loc25	0	0
208234860	Loc26	0	0
208234860	Loc27	0	0
208234860	Loc28	0	38
208234860	Loc29	131	0
208234860	Loc30	0	9
208234860	Loc31	0	0
208234860	Loc32	0	0
208234860	Loc33	0	0
208234860	Loc34	0	0
208234860	Loc35	0	0
208234860	Loc36	0	0
208234860	Loc37	0	16
208234860	Loc38	0	0
208234860	Loc39	0	0
208234860	Loc40	0	0
208234860	Loc41	76	0
208234860	Loc42	0	0
208234860	Loc43	88	0
208234860	Loc44	9	0
208234860	Loc45	115	0
208234860	Loc46	89	0
208234860	Loc47	0	0
208234860	Loc48	45	0
208234860	Loc49	127	0
208234860	Loc50	0	0
208234860	Loc51	0	0
208234860	Loc52	0	0
208234860	Loc53	27	0
208234860	Loc54	0	0
208234860	Loc55	0	0
208234860	Loc56	0	13
208234860	Loc57	0	0
208234860	Loc58	7	0
208234860	Loc59	17	0
208234860	Loc60	0	0
208234860	Loc61	0	0
208234860	Loc62	0	0
208234860	Loc63	0	0
208234860	Loc64	0	0
208234860	Loc65	0	0
208234860	Loc66	0	0
208234860	Loc67	134	62
208234860	Loc68	21	0
208234860	Loc69	0	0
208234860	Loc70	0	0
208234860	Loc71	0	0
208234860	Loc72	80	0
208234860	Loc73	0	0
208234860	Loc74	0	0
208234860	Loc75	7	0
208234860	Loc76	8	0
208234860	Loc77	85	11
208234860	Loc78	128	0
208234860	Loc79	153	0
208234860	Loc80	0	0
208234860	Loc81	0	0
208234860	Loc82	0	0
208234860	Loc83	0	0
208234860	Loc84	103	78
208234860	Loc85	0	0
208234860	Loc86	0	0
208234860	Loc87	0	0
208234860	Loc88	0	0
208234860	Loc89	0	0
208234860	Loc90	0	0
208234860	Loc91	0	0
208234860	Loc92	0	138
208234860	Loc93	0	0
208234860	Loc94	0	39
208234860	Loc95	0	0
208234860	Loc96	0	0
208268362	Loc01	52	0
208268362	Loc02	0	0
208268362	Loc03	5	23
208268362	Loc04	0	0
208268362	Loc05	0	0
208268362	Loc06	0	0
208268362	Loc07	0	0
208268362	Loc08	103	34
208268362	Loc09	0	0
208268362	Loc10	48	0
208268362	Loc11	0	0
208268362	Loc12	0	0
